date,image
February 61908,https://vogue.blob.core.windows.net/vogueoutput19080206thumbnails/Covers/0x420/19080206.jpg
January 301908,https://vogue.blob.core.windows.net/vogueoutput19080130thumbnails/Covers/0x420/19080130.jpg
January 231908,https://vogue.blob.core.windows.net/vogueoutput19080123thumbnails/Covers/0x420/19080123.jpg
January 161908,https://vogue.blob.core.windows.net/vogueoutput19080116thumbnails/Covers/0x420/19080116.jpg
January 91908,https://vogue.blob.core.windows.net/vogueoutput19080109thumbnails/Covers/0x420/19080109.jpg
January 21908,https://vogue.blob.core.windows.net/vogueoutput19080102thumbnails/Covers/0x420/19080102.jpg
December 151910,https://vogue.blob.core.windows.net/vogueoutput19101215thumbnails/Covers/0x420/19101215.jpg
December 11910,https://vogue.blob.core.windows.net/vogueoutput19101201thumbnails/Covers/0x420/19101201.jpg
November 151910,https://vogue.blob.core.windows.net/vogueoutput19101115thumbnails/Covers/0x420/19101115.jpg
November 11910,https://vogue.blob.core.windows.net/vogueoutput19101101thumbnails/Covers/0x420/19101101.jpg
October 151910,https://vogue.blob.core.windows.net/vogueoutput19101015thumbnails/Covers/0x420/19101015.jpg
October 11910,https://vogue.blob.core.windows.net/vogueoutput19101001thumbnails/Covers/0x420/19101001.jpg
September 151910,https://vogue.blob.core.windows.net/vogueoutput19100915thumbnails/Covers/0x420/19100915.jpg
September 11910,https://vogue.blob.core.windows.net/vogueoutput19100901thumbnails/Covers/0x420/19100901.jpg
August 151910,https://vogue.blob.core.windows.net/vogueoutput19100815thumbnails/Covers/0x420/19100815.jpg
August 11910,https://vogue.blob.core.windows.net/vogueoutput19100801thumbnails/Covers/0x420/19100801.jpg
July 151910,https://vogue.blob.core.windows.net/vogueoutput19100715thumbnails/Covers/0x420/19100715.jpg
July 11910,https://vogue.blob.core.windows.net/vogueoutput19100701thumbnails/Covers/0x420/19100701.jpg
June 151910,https://vogue.blob.core.windows.net/vogueoutput19100615thumbnails/Covers/0x420/19100615.jpg
June 11910,https://vogue.blob.core.windows.net/vogueoutput19100601thumbnails/Covers/0x420/19100601.jpg
May 151910,https://vogue.blob.core.windows.net/vogueoutput19100515thumbnails/Covers/0x420/19100515.jpg
May 11910,https://vogue.blob.core.windows.net/vogueoutput19100501thumbnails/Covers/0x420/19100501.jpg
April 151910,https://vogue.blob.core.windows.net/vogueoutput19100415thumbnails/Covers/0x420/19100415.jpg
April 11910,https://vogue.blob.core.windows.net/vogueoutput19100401thumbnails/Covers/0x420/19100401.jpg
March 151910,https://vogue.blob.core.windows.net/vogueoutput19100315thumbnails/Covers/0x420/19100315.jpg
March 11910,https://vogue.blob.core.windows.net/vogueoutput19100301thumbnails/Covers/0x420/19100301.jpg
February 151910,https://vogue.blob.core.windows.net/vogueoutput19100215thumbnails/Covers/0x420/19100215.jpg
February 121910,https://vogue.blob.core.windows.net/vogueoutput19100212thumbnails/Covers/0x420/19100212.jpg
February 51910,https://vogue.blob.core.windows.net/vogueoutput19100205thumbnails/Covers/0x420/19100205.jpg
January 291910,https://vogue.blob.core.windows.net/vogueoutput19100129thumbnails/Covers/0x420/19100129.jpg
January 221910,https://vogue.blob.core.windows.net/vogueoutput19100122thumbnails/Covers/0x420/19100122.jpg
January 151910,https://vogue.blob.core.windows.net/vogueoutput19100115thumbnails/Covers/0x420/19100115.jpg
January 81910,https://vogue.blob.core.windows.net/vogueoutput19100108thumbnails/Covers/0x420/19100108.jpg
January 11910,https://vogue.blob.core.windows.net/vogueoutput19100101thumbnails/Covers/0x420/19100101.jpg
December 251909,https://vogue.blob.core.windows.net/vogueoutput19091225thumbnails/Covers/0x420/19091225.jpg
December 181909,https://vogue.blob.core.windows.net/vogueoutput19091218thumbnails/Covers/0x420/19091218.jpg
December 111909,https://vogue.blob.core.windows.net/vogueoutput19091211thumbnails/Covers/0x420/19091211.jpg
December 41909,https://vogue.blob.core.windows.net/vogueoutput19091204thumbnails/Covers/0x420/19091204.jpg
November 271909,https://vogue.blob.core.windows.net/vogueoutput19091127thumbnails/Covers/0x420/19091127.jpg
November 201909,https://vogue.blob.core.windows.net/vogueoutput19091120thumbnails/Covers/0x420/19091120.jpg
November 131909,https://vogue.blob.core.windows.net/vogueoutput19091113thumbnails/Covers/0x420/19091113.jpg
November 61909,https://vogue.blob.core.windows.net/vogueoutput19091106thumbnails/Covers/0x420/19091106.jpg
October 301909,https://vogue.blob.core.windows.net/vogueoutput19091030thumbnails/Covers/0x420/19091030.jpg
October 231909,https://vogue.blob.core.windows.net/vogueoutput19091023thumbnails/Covers/0x420/19091023.jpg
October 161909,https://vogue.blob.core.windows.net/vogueoutput19091016thumbnails/Covers/0x420/19091016.jpg
October 91909,https://vogue.blob.core.windows.net/vogueoutput19091009thumbnails/Covers/0x420/19091009.jpg
October 21909,https://vogue.blob.core.windows.net/vogueoutput19091002thumbnails/Covers/0x420/19091002.jpg
September 251909,https://vogue.blob.core.windows.net/vogueoutput19090925thumbnails/Covers/0x420/19090925.jpg
September 181909,https://vogue.blob.core.windows.net/vogueoutput19090918thumbnails/Covers/0x420/19090918.jpg
September 111909,https://vogue.blob.core.windows.net/vogueoutput19090911thumbnails/Covers/0x420/19090911.jpg
September 41909,https://vogue.blob.core.windows.net/vogueoutput19090904thumbnails/Covers/0x420/19090904.jpg
August 261909,https://vogue.blob.core.windows.net/vogueoutput19090826thumbnails/Covers/0x420/19090826.jpg
August 191909,https://vogue.blob.core.windows.net/vogueoutput19090819thumbnails/Covers/0x420/19090819.jpg
August 121909,https://vogue.blob.core.windows.net/vogueoutput19090812thumbnails/Covers/0x420/19090812.jpg
August 51909,https://vogue.blob.core.windows.net/vogueoutput19090805thumbnails/Covers/0x420/19090805.jpg
July 291909,https://vogue.blob.core.windows.net/vogueoutput19090729thumbnails/Covers/0x420/19090729.jpg
July 221909,https://vogue.blob.core.windows.net/vogueoutput19090722thumbnails/Covers/0x420/19090722.jpg
July 151909,https://vogue.blob.core.windows.net/vogueoutput19090715thumbnails/Covers/0x420/19090715.jpg
July 81909,https://vogue.blob.core.windows.net/vogueoutput19090708thumbnails/Covers/0x420/19090708.jpg
July 11909,https://vogue.blob.core.windows.net/vogueoutput19090701thumbnails/Covers/0x420/19090701.jpg
June 241909,https://vogue.blob.core.windows.net/vogueoutput19090624thumbnails/Covers/0x420/19090624.jpg
June 171909,https://vogue.blob.core.windows.net/vogueoutput19090617thumbnails/Covers/0x420/19090617.jpg
June 101909,https://vogue.blob.core.windows.net/vogueoutput19090610thumbnails/Covers/0x420/19090610.jpg
June 31909,https://vogue.blob.core.windows.net/vogueoutput19090603thumbnails/Covers/0x420/19090603.jpg
May 271909,https://vogue.blob.core.windows.net/vogueoutput19090527thumbnails/Covers/0x420/19090527.jpg
May 201909,https://vogue.blob.core.windows.net/vogueoutput19090520thumbnails/Covers/0x420/19090520.jpg
May 131909,https://vogue.blob.core.windows.net/vogueoutput19090513thumbnails/Covers/0x420/19090513.jpg
May 61909,https://vogue.blob.core.windows.net/vogueoutput19090506thumbnails/Covers/0x420/19090506.jpg
April 291909,https://vogue.blob.core.windows.net/vogueoutput19090429thumbnails/Covers/0x420/19090429.jpg
April 221909,https://vogue.blob.core.windows.net/vogueoutput19090422thumbnails/Covers/0x420/19090422.jpg
April 151909,https://vogue.blob.core.windows.net/vogueoutput19090415thumbnails/Covers/0x420/19090415.jpg
April 81909,https://vogue.blob.core.windows.net/vogueoutput19090408thumbnails/Covers/0x420/19090408.jpg
April 11909,https://vogue.blob.core.windows.net/vogueoutput19090401thumbnails/Covers/0x420/19090401.jpg
March 251909,https://vogue.blob.core.windows.net/vogueoutput19090325thumbnails/Covers/0x420/19090325.jpg
March 181909,https://vogue.blob.core.windows.net/vogueoutput19090318thumbnails/Covers/0x420/19090318.jpg
March 111909,https://vogue.blob.core.windows.net/vogueoutput19090311thumbnails/Covers/0x420/19090311.jpg
March 41909,https://vogue.blob.core.windows.net/vogueoutput19090304thumbnails/Covers/0x420/19090304.jpg
February 251909,https://vogue.blob.core.windows.net/vogueoutput19090225thumbnails/Covers/0x420/19090225.jpg
February 181909,https://vogue.blob.core.windows.net/vogueoutput19090218thumbnails/Covers/0x420/19090218.jpg
February 111909,https://vogue.blob.core.windows.net/vogueoutput19090211thumbnails/Covers/0x420/19090211.jpg
February 41909,https://vogue.blob.core.windows.net/vogueoutput19090204thumbnails/Covers/0x420/19090204.jpg
January 281909,https://vogue.blob.core.windows.net/vogueoutput19090128thumbnails/Covers/0x420/19090128.jpg
January 211909,https://vogue.blob.core.windows.net/vogueoutput19090121thumbnails/Covers/0x420/19090121.jpg
January 141909,https://vogue.blob.core.windows.net/vogueoutput19090114thumbnails/Covers/0x420/19090114.jpg
January 71909,https://vogue.blob.core.windows.net/vogueoutput19090107thumbnails/Covers/0x420/19090107.jpg
December 311908,https://vogue.blob.core.windows.net/vogueoutput19081231thumbnails/Covers/0x420/19081231.jpg
December 241908,https://vogue.blob.core.windows.net/vogueoutput19081224thumbnails/Covers/0x420/19081224.jpg
December 171908,https://vogue.blob.core.windows.net/vogueoutput19081217thumbnails/Covers/0x420/19081217.jpg
December 101908,https://vogue.blob.core.windows.net/vogueoutput19081210thumbnails/Covers/0x420/19081210.jpg
December 31908,https://vogue.blob.core.windows.net/vogueoutput19081203thumbnails/Covers/0x420/19081203.jpg
November 261908,https://vogue.blob.core.windows.net/vogueoutput19081126thumbnails/Covers/0x420/19081126.jpg
November 191908,https://vogue.blob.core.windows.net/vogueoutput19081119thumbnails/Covers/0x420/19081119.jpg
November 121908,https://vogue.blob.core.windows.net/vogueoutput19081112thumbnails/Covers/0x420/19081112.jpg
November 51908,https://vogue.blob.core.windows.net/vogueoutput19081105thumbnails/Covers/0x420/19081105.jpg
October 291908,https://vogue.blob.core.windows.net/vogueoutput19081029thumbnails/Covers/0x420/19081029.jpg
October 221908,https://vogue.blob.core.windows.net/vogueoutput19081022thumbnails/Covers/0x420/19081022.jpg
October 151908,https://vogue.blob.core.windows.net/vogueoutput19081015thumbnails/Covers/0x420/19081015.jpg
October 81908,https://vogue.blob.core.windows.net/vogueoutput19081008thumbnails/Covers/0x420/19081008.jpg
October 11908,https://vogue.blob.core.windows.net/vogueoutput19081001thumbnails/Covers/0x420/19081001.jpg
September 241908,https://vogue.blob.core.windows.net/vogueoutput19080924thumbnails/Covers/0x420/19080924.jpg
September 171908,https://vogue.blob.core.windows.net/vogueoutput19080917thumbnails/Covers/0x420/19080917.jpg
September 101908,https://vogue.blob.core.windows.net/vogueoutput19080910thumbnails/Covers/0x420/19080910.jpg
September 31908,https://vogue.blob.core.windows.net/vogueoutput19080903thumbnails/Covers/0x420/19080903.jpg
August 271908,https://vogue.blob.core.windows.net/vogueoutput19080827thumbnails/Covers/0x420/19080827.jpg
August 201908,https://vogue.blob.core.windows.net/vogueoutput19080820thumbnails/Covers/0x420/19080820.jpg
August 131908,https://vogue.blob.core.windows.net/vogueoutput19080813thumbnails/Covers/0x420/19080813.jpg
August 61908,https://vogue.blob.core.windows.net/vogueoutput19080806thumbnails/Covers/0x420/19080806.jpg
July 301908,https://vogue.blob.core.windows.net/vogueoutput19080730thumbnails/Covers/0x420/19080730.jpg
July 231908,https://vogue.blob.core.windows.net/vogueoutput19080723thumbnails/Covers/0x420/19080723.jpg
July 161908,https://vogue.blob.core.windows.net/vogueoutput19080716thumbnails/Covers/0x420/19080716.jpg
July 91908,https://vogue.blob.core.windows.net/vogueoutput19080709thumbnails/Covers/0x420/19080709.jpg
July 21908,https://vogue.blob.core.windows.net/vogueoutput19080702thumbnails/Covers/0x420/19080702.jpg
